월,날짜,시간,온도
2,7,400,6.9
2,7,500,6.3
2,7,600,5.7
2,7,700,4.8
2,7,800,3.4
2,7,900,2.4
2,7,1000,0.9
2,7,1100,1
2,7,1200,-0.2
2,7,1300,-1.1
2,7,1400,-1.8
2,7,1500,-2.3
2,7,1600,-2.5
2,7,1700,-2.3
2,7,1800,-3.7
2,7,1900,-3.2
2,7,2000,-3.7
2,7,2100,-3.6
2,7,2200,-3.7
2,7,2300,-2.1
2,8,0,-1.6
2,8,100,-1.1
2,8,200,-1.2
2,8,300,-0.8
2,8,400,-0.4
2,8,500,-0.6
2,8,600,-0.8
2,8,700,-1.4
2,8,800,-2
2,8,900,-2.8
2,8,1000,-3.1
2,8,1100,-3.7
2,8,1200,-2.9
2,8,1300,-3.2
2,8,1400,-3.7
2,8,1500,-4.3
2,8,1600,-5.9
2,8,1700,-6.2
2,8,1800,-6.6
2,8,1900,-7.7
2,8,2000,-7.7
2,8,2100,-8.1
2,8,2200,-7
2,8,2300,-1.7
2,9,0,0
2,9,100,1.9
2,9,200,2.8
2,9,300,4
2,9,400,5.3
2,9,500,5.1
2,9,600,5
2,9,700,3.7
2,9,800,0.9
2,9,900,-0.8
2,9,1000,-1.3
2,9,1100,-2.8
2,9,1200,-3.2
2,9,1300,-3.7
2,9,1400,-4
2,9,1500,-4.3
2,9,1600,-4.4
2,9,1700,-4.1
2,9,1800,-4.2
2,9,1900,-4.4
2,9,2000,-4.6
2,9,2100,-4.3
2,9,2200,-3.2
2,9,2300,-0.8
2,10,0,2.6
2,10,100,5.3
2,10,200,6.5
2,10,300,7.4
2,10,400,8
2,10,500,8
2,10,600,7.7
2,10,700,7.2
2,10,800,5.4
2,10,900,2.2
2,10,1000,2.2
2,10,1100,0.2
2,10,1200,0.5
2,10,1300,0
2,10,1400,-0.4
2,10,1500,-0.9
2,10,1600,-1.2
2,10,1700,-1
2,10,1800,-0.5
2,10,1900,-0.3
2,10,2000,-0.6
2,10,2100,-0.5
2,10,2200,-0.7
2,10,2300,1.5
2,11,0,4.3
2,11,100,7.3
2,11,200,9.8
2,11,300,11.2
2,11,400,11.7
2,11,500,11.5
2,11,600,10.9
2,11,700,9.8
2,11,800,8.2
2,11,900,5.4
2,11,1000,3.8
2,11,1100,2.8
2,11,1200,1.2
2,11,1300,1.4
2,11,1400,0.7
2,11,1500,0.3
2,11,1600,-0.1
2,11,1700,-0.5
2,11,1800,-1.1
2,11,1900,-1.3
2,11,2000,-1.5
2,11,2100,-1.5
2,11,2200,-1.7
2,11,2300,2.3
2,12,0,6.5
2,12,100,10.2
2,12,200,12.6
2,12,300,13.9
2,12,400,15
2,12,500,14.8
2,12,600,14.9
2,12,700,12.5
2,12,800,8.6
2,12,900,5.6
2,12,1000,3.5
2,12,1100,2
2,12,1200,0.8
2,12,1300,0
2,12,1400,-0.3
2,12,1500,-0.9
2,12,1600,-1.1
2,12,1700,-1.8
2,12,1800,-2.2
2,12,1900,-2.6
2,12,2000,-2.4
2,12,2100,-3
2,12,2200,-2.3
2,12,2300,1.2
2,13,0,5.8
2,13,100,8.8
2,13,200,13
2,13,300,14.7
2,13,400,15.8
2,13,500,16.799999
2,13,600,16.700001
2,13,700,13.5
2,13,800,9.3
2,13,900,6.7
2,13,1000,4.6
2,13,1100,2.7
2,13,1200,2.1
2,13,1300,1.6
2,13,1400,1.5
2,13,1500,1.4
2,13,1600,1.3
2,13,1700,2.1
2,13,1800,2.8
2,13,1900,3.1
2,13,2000,3.3
2,13,2100,3.1
2,13,2200,4
2,13,2300,5.7
2,14,0,7.4
2,14,100,10.3
2,14,200,12.9
2,14,300,13
2,14,400,12
2,14,500,13
2,14,600,12.4
2,14,700,11.7
2,14,800,10.1
2,14,900,8.9
